nombre,spend,impressions,link_clicks,conversations,add_to_cart,reach,ctr,cpc,cpm,cost_per_msg
Stefideviaje,162147,146539,1125,578,40,130811,0.7677137144377947,144.13066666666666,1106.510894710623,280.5311418685121
Paro Lluvia,104404,72944,1083,7,15,62180,1.4847005922351393,96.40258541089565,1431.2897565255537,14914.857142857143
Video explicando servicio corto,91846,81750,724,208,0,67107,0.8856269113149847,126.85911602209944,1123.4984709480123,441.5673076923077
20 diciembre,91444,75059,1212,14,15,66351,1.614729745933199,75.44884488448845,1218.294941312834,6531.714285714285
Ad lluvia septiembre - Copia,80098,65209,300,129,0,51494,0.46005919428299774,266.99333333333334,1228.327378122652,620.9147286821706
Nocturno romantico,34173,25648,300,2,5,22269,1.1696818465377417,113.91,1332.3845913911416,17086.5
6 horas,11443,8889,513,3,5,7896,5.7711778602767465,22.306042884990255,1287.321408482394,3814.3333333333335
Ad lluvia septiembre,8544,7203,34,12,0,6422,0.47202554491184223,251.2941176470588,1186.1724281549355,712.0
Viral navegantes,2950,2541,6,3,0,2240,0.23612750885478156,491.6666666666667,1160.9602518693428,983.3333333333334
Fran Sin concurso,611,393,0,0,0,341,0.0,0.0,1554.70737913486,
