Dia,Ingreso Reservas,Ingreso extras,Costo Operativo,Costo marketing,Costo Remuneracion,Costos Extras,Extras
01/01/2026,399910,51500,55650,11687,0,19650,"cerveza_royal x3, tabla_4_personas x1, fanta x1, coca-cola x4"
02/01/2026,319940,5800,37500,12167,0,1500,coca-cola x2
03/01/2026,139980,0,18000,18563,0,0,Sin extras
04/01/2026,194950,0,18000,20096,0,0,Sin extras
06/01/2026,197940,0,18000,26725,0,0,Sin extras
07/01/2026,334930,58400,60950,18650,0,24950,"tabla_2_personas x2, coca-cola x1, maracuya_stone_ x1, cerveza_artesanal_ambar x2"
08/01/2026,139980,20000,21000,20924,0,3000,pack_iluminacion_(velas_y_letras) x1
09/01/2026,484910,0,54000,17513,0,0,Sin extras
10/01/2026,477916,50000,73980,17741,0,19980,"tabla_2_personas x1, champaña_riccadonna_ruby x1, champaña_riccadonna_moscato_rose x1"
11/01/2026,532870,114400,101630,24067,0,47630,"cerveza_artesanal_negra x5, champaña_riccadonna_ruby x1, coca-cola x1, lemon_stone x1, cerveza_artesanal_negra x8, champaña_riccadonna_moscato_rose x1"
12/01/2026,557860,47000,73400,22190,0,19400,"tabla_2_personas x1, vino_merlot x1, cerveza_artesanal_ambar x1, cerveza_artesanal_negra x1"
13/01/2026,167944,55000,40000,20397,0,22000,"tabla_4_personas x1, video_15_segundos x1"
14/01/2026,139980,20000,27000,20020,0,9000,tabla_2_personas x1
15/01/2026,952810,160000,155000,20476,0,47000,"tabla_2_personas x1, tabla_2_personas x1, foto_con_marco x1, foto_con_marco x1, tabla_2_personas x1, foto_con_marco x1, foto_con_marco x1, video_60_segundos x1"
16/01/2026,301944,110000,68000,36677,0,32000,"tabla_2_personas x1, video_15_segundos x1, video_60_segundos x1, pack_iluminacion_(velas_y_letras) x1"
17/01/2026,164970,45000,30500,34527,0,12500,"foto_con_marco x1, video_15_segundos x1"
18/01/2026,194950,52900,37750,46202,0,19750,"fanta x1, tabla_2_personas x1, video_15_segundos x1"
19/01/2026,484910,67000,82600,29005,0,28600,"tabla_2_personas x1, lemon_stone x2, modo_romantico x1, tabla_2_personas x1, tabla_2_personas x1"
20/01/2026,139980,42000,33400,41490,0,15400,"video_15_segundos x1, cerveza_artesanal_negra x2"
21/01/2026,419940,76000,84700,39022,0,30700,"foto_con_marco x1, cerveza_artesanal_ambar x2, tabla_4_personas x1, modo_romantico x1, cerveza_artesanal_negra x4"
22/01/2026,613866,100000,112990,34939,0,40990,"tabla_2_personas x1, video_15_segundos x1, tabla_2_personas x2, jugo_naranja x1"
24/01/2026,111984,12000,23400,30296,0,5400,"cerveza_artesanal_ambar x1, cerveza_artesanal_negra x1"
25/01/2026,404880,72000,67380,29160,0,31380,"cerveza_artesanal_ambar x2, tabla_2_personas x2, jugo_natural_1lt x2"
26/01/2026,572880,0,54000,32769,0,0,Sin extras
27/01/2026,159980,0,18000,853,0,0,Sin extras
28/01/2026,139980,0,18000,0,0,0,Sin extras
29/01/2026,139980,0,18000,0,0,0,Sin extras
30/01/2026,179960,0,18000,0,0,0,Sin extras
