Extras vendidos,cantidad,ingresos,costos,utilidad
tabla_2_personas,18,360000,162000,198000
video_15_segundos,6,180000,60000,120000
cerveza_artesanal_negra,21,126000,56700,69300
foto_con_marco,6,90000,15000,75000
video_60_segundos,2,80000,20000,60000
tabla_4_personas,3,75000,36000,39000
cerveza_artesanal_ambar,8,48000,21600,26400
pack_iluminacion_(velas_y_letras),2,40000,6000,34000
champaña_riccadonna_ruby,2,30000,10980,19020
champaña_riccadonna_moscato_rose,2,30000,10980,19020
coca-cola,8,23200,6000,17200
jugo_natural_1lt,2,20000,7980,12020
vino_merlot,1,15000,5000,10000
cerveza_royal,3,12000,3900,8100
lemon_stone,3,10500,2400,8100
jugo_naranja,1,10000,3990,6010
fanta,2,5800,1500,4300
maracuya_stone_,1,3500,800,2700
modo_romantico,2,0,0,0
